time	lat	long	vmax	64ne	64se	64sw	64nw	50ne	50se	50sw	50nw	34ne	34se	34sw	34nw	notes
0	-16.9	119.8	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
6	-17.9	119.1	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
12	-18.5	118.9	25.72	0	0	0	0	55	65	60	45	105	125	110	100	0
18	-19.1	118.6	30.864	0	0	0	0	55	65	60	45	105	125	110	100	0
30	-19.7	118.4	36.008	10	10	10	0	50	60	70	50	90	110	90	80	0
42	-19.8	118.1	41.152	10	20	20	10	40	50	50	40	90	100	90	80	0
54	-20	117.8	46.296	20	20	20	20	40	50	50	40	100	100	100	90	0
66	-20.4	117.4	54.012	20	30	30	20	50	60	60	50	110	110	100	100	0
90	-21.8	117.4	33.436	30	30	30	30	50	60	60	40	90	130	110	80	0
114	-25.3	117.6	23.148	0	0	0	0	0	0	0	0	20	50	30	20	0
138	-27.4	119.2	15.432	0	0	0	0	0	0	0	0	0	0	0	0	0
