time	lat	long	vmax	64ne	64se	64sw	64nw	50ne	50se	50sw	50nw	34ne	34se	34sw	34nw	notes
0	-16.9	119.8	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
12	-17.7	119.8	25.72	0	0	0	0	10	20	20	10	40	60	90	80	0
24	-18.5	119.8	28.292	0	0	0	0	10	20	20	10	40	50	70	50	0
36	-19	119.7	30.864	0	0	0	0	10	20	30	10	40	80	90	50	0
48	-19.3	119.4	33.436	10	20	10	10	20	30	40	20	40	90	100	60	0
72	-20.1	119.7	41.152	10	10	20	20	30	30	30	30	90	80	90	70	0
96	-22.5	121.4	20.576	0	0	0	0	0	0	0	0	0	0	0	0	0
120	-25.1	122.6	15.432	0	0	0	0	0	0	0	0	0	0	0	0	0
