time	lat	long	vmax	64ne	64se	64sw	64nw	50ne	50se	50sw	50nw	34ne	34se	34sw	34nw	notes
0	-16.9	119.8	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
6	-17.9	119.1	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
12	-18.5	118.9	25.72	0	0	0	0	55	65	60	45	105	125	110	100	0
24	-19.2	119	28.292	0	0	0	0	70	70	0	70	80	90	80	80	0
36	-19.6	118.8	33.436	0	0	0	0	50	40	50	50	70	90	80	80	0
48	-19.9	118.6	41.152	20	20	10	10	60	50	60	50	90	90	90	70	0
60	-20.2	118.4	48.868	30	20	30	20	50	50	60	50	100	90	90	90	0
84	-21.8	118.7	28.292	0	0	0	0	70	60	70	50	80	90	80	70	0
108	-25.1	118.7	15.432	0	0	0	0	0	0	0	0	0	0	0	0	0
