time	lat	long	vmax	64ne	64se	64sw	64nw	50ne	50se	50sw	50nw	34ne	34se	34sw	34nw	notes
0	-16.9	119.8	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
6	-17.9	119.1	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
18	-18.6	119.1	25.72	0	0	0	0	30	10	40	50	40	30	80	80	0
30	-19	118.9	30.864	0	0	0	0	20	20	30	30	40	50	80	80	0
42	-19.3	118.5	41.152	20	20	20	20	30	30	30	30	40	70	80	60	0
54	-19.6	118.2	48.868	20	20	20	20	30	30	30	30	70	80	100	80	0
78	-21	118.7	38.58	20	10	10	20	40	40	40	40	80	60	80	70	0
102	-24.1	119.9	15.432	0	0	0	0	0	0	0	0	0	0	0	0	0
